,ID,Priority,Family_type,First_stage,Start_time_S1,Finish_time_S1,Processing_Time_S1,Second_stage,Start_time_S2,Finish_Time_S2,Processing_Time_S2,Third_stage,Start_time_S3,Finish_time_S3,Processing_Time_S3,Fourth_stage,Start_time_s4,Finish_time,Processing_Time_S4,Overall_processing_time,Overall_waiting_time,Tardiness,BREAKS
0,12,1,34,SMD_0,0,402,402,AOI_2,402,781,379,0,0,0,0,CC_1,781,979,198,979,0,0,0
1,23,1,37,SMD_1,0,354,354,AOI_0,354,441,87,SS_0,441,592,151,CC_1,592,696,104,696,0,0,0
2,131,1,29,SMD_3,0,37,37,AOI_0,37,90,53,SS_0,90,138,48,0,0,0,0,138,0,0,0
3,29,1,18,SMD_0,402,1155,753,AOI_2,1155,1457,302,SS_3,1457,2127,670,CC_0,2243,2441,198,1923,518,0,0
4,75,1,20,SMD_4,0,189,189,AOI_1,189,766,577,SS_0,766,1021,255,0,0,0,0,1021,0,0,0
5,78,1,29,SMD_3,37,172,135,AOI_0,172,230,58,SS_0,230,339,109,0,0,0,0,302,37,0,0
6,81,1,28,SMD_2,0,723,723,AOI_0,723,1170,447,SS_0,1170,1600,430,CC_0,1600,1776,176,1776,0,0,0
7,6,2,21,SMD_1,1159,1489,330,AOI_2,1489,1815,326,SS_0,1815,2072,257,CC_0,2441,2485,44,957,1528,0,0
8,49,2,39,SMD_4,2204,2677,473,AOI_2,2677,2769,92,SS_1,2769,2892,123,CC_0,2892,2968,76,764,2204,0,0
9,66,2,19,SMD_1,1489,1750,261,AOI_4,1750,2038,288,SS_4,2050,2207,157,CC_1,2398,2625,227,933,1692,0,0
10,84,2,33,SMD_0,1155,1263,108,AOI_4,1263,1358,95,SS_2,1358,1488,130,0,0,0,0,333,1155,0,0
11,93,2,28,SMD_2,723,881,158,AOI_2,881,1058,177,SS_3,1058,1153,95,CC_0,1153,1203,50,480,723,0,0
12,115,2,38,SMD_1,1813,1955,142,AOI_1,1955,1996,41,0,0,0,0,CC_1,1996,2051,55,238,1813,0,0
13,125,2,31,SMD_4,882,1881,999,AOI_0,1891,2734,843,0,0,0,0,0,0,0,0,1842,892,0,0
14,154,2,39,SMD_4,1881,2204,323,AOI_2,2204,2462,258,SS_0,2462,2790,328,0,0,0,0,909,1881,0,0
15,37,3,14,SMD_1,2196,2691,495,AOI_4,2691,2946,255,SS_0,2946,3152,206,CC_0,3152,3219,67,1023,2196,0,0
16,98,3,3,SMD_2,3693,3935,242,AOI_3,4369,4542,173,0,0,0,0,CC_1,5051,5205,154,569,4636,0,0
17,110,3,13,SMD_1,2869,2983,114,AOI_4,2992,3035,43,SS_2,3035,3083,48,CC_1,3083,3129,46,251,2878,0,0
18,118,3,32,SMD_2,1425,2420,995,AOI_3,2420,3328,908,SS_1,3328,4149,821,CC_1,4149,5051,902,3626,1425,0,0
19,13,4,20,SMD_3,1835,2811,976,AOI_0,2811,3154,343,SS_0,3154,3598,444,CC_1,3598,3792,194,1957,1835,0,0
20,15,4,33,SMD_0,1263,1405,142,AOI_3,1405,1445,40,0,0,0,0,CC_1,1445,1501,56,238,1263,0,0
21,55,4,16,SMD_1,4390,4723,333,AOI_1,4753,4860,107,SS_2,5012,5312,300,CC_1,5348,5527,179,919,4608,0,0
22,86,4,1,SMD_3,4130,4227,97,AOI_1,4409,4522,113,SS_2,4522,4585,63,0,0,0,0,273,4312,0,0
23,87,4,28,SMD_2,881,928,47,AOI_4,928,1003,75,SS_1,1003,1095,92,0,0,0,0,214,881,0,0
24,107,4,39,SMD_4,2677,3502,825,AOI_0,3502,3892,390,SS_3,3892,4579,687,0,0,0,0,1902,2677,0,0
25,116,4,5,SMD_1,1955,2196,241,AOI_1,2196,2502,306,SS_1,2502,2656,154,CC_1,2656,2704,48,749,1955,0,0
26,137,4,30,SMD_4,4608,4762,154,AOI_0,4794,4850,56,SS_3,4938,5017,79,CC_1,5205,5348,143,432,4916,0,0
27,145,4,13,SMD_1,2983,3055,72,AOI_4,3055,3109,54,SS_2,3109,3192,83,0,0,0,0,209,2983,0,0
28,5,5,2,SMD_4,5635,5754,119,AOI_1,5754,6211,457,SS_4,6211,6291,80,CC_0,6355,6409,54,710,5699,0,0
29,7,5,11,SMD_0,4101,5047,946,AOI_2,5047,5204,157,SS_0,5204,5476,272,CC_1,5597,5675,78,1453,4222,0,0
30,17,5,11,SMD_0,3684,4101,417,AOI_2,4442,4716,274,SS_3,4716,4938,222,CC_1,5527,5597,70,983,4614,0,0
31,54,5,10,SMD_4,4762,5635,873,AOI_4,5635,6070,435,SS_2,6070,6844,774,0,0,0,0,2082,4762,0,0
32,80,5,23,SMD_4,6730,7120,390,AOI_3,7129,7324,195,SS_3,7324,7489,165,CC_0,7489,7614,125,875,6739,0,0
33,94,5,19,SMD_1,1750,1813,63,AOI_2,1815,1951,136,SS_2,2011,2211,200,0,0,0,0,399,1812,0,0
34,106,5,37,SMD_1,354,475,121,AOI_0,475,525,50,0,0,0,0,CC_0,525,553,28,199,354,0,0
35,144,5,22,SMD_2,5429,5690,261,AOI_1,5690,5737,47,SS_1,5737,5828,91,CC_0,6409,6498,89,488,6010,0,0
36,1,6,36,SMD_1,6325,6414,89,AOI_1,6414,6455,41,SS_0,6455,6519,64,CC_1,6650,6792,142,336,6456,0,0
37,16,6,24,SMD_4,7120,7492,372,AOI_1,7512,7613,101,SS_1,7664,7793,129,CC_1,7889,8032,143,745,7287,0,0
38,19,6,1,SMD_3,4227,4910,683,AOI_0,4910,5787,877,0,0,0,0,CC_1,5891,6215,324,1884,4331,0,0
