ID,Priority,Family_type,First_stage,Start_time_S1,Finish_time_S1,Processing_Time_S1,Second_stage,Start_time_S2,Finish_Time_S2,Processing_Time_S2,Third_stage,Start_time_S3,Finish_time_S3,Processing_Time_S3,Fourth_stage,Start_time_s4,Finish_time,Processing_Time_S4,Overall_processing_time,Overall_waiting_time,Tardiness,BREAKS,BREAKDOWN,Anomaly_identification,S1_efficiency,S2_efficiency,S3_efficiency,S4_efficiency,wait_to_process_ratio,longest_stage,shortest_stage,stage_time_std,stage_time_range,is_tardy,tardiness_per_unit,zscore_Overall_waiting_time,flag_z_Overall_waiting_time,zscore_Overall_processing_time,flag_z_Overall_processing_time,zscore_Tardiness,flag_z_Tardiness,zscore_Processing_Time_S1,flag_z_Processing_Time_S1,zscore_Processing_Time_S2,flag_z_Processing_Time_S2,zscore_Processing_Time_S3,flag_z_Processing_Time_S3,zscore_Processing_Time_S4,flag_z_Processing_Time_S4,total_z_flags
12,1,34,SMD_0,0,402,402,AOI_2,402,781,379,0,0,0,0,CC_1,781,979,198,979,0,0,0,0,0,0.9975186104218362,0.9973684210526316,0.0,0.9949748743718593,0.0,402,0,186.93916122631984,402,0,0.0,1.5253637211355178,0,0.41444664296553524,0,0.20065928003980532,0,0.25137156527509347,0,0.11118635085614287,0,0.9125151959633361,0,0.26024061616256194,0,0
23,1,37,SMD_1,0,354,354,AOI_0,354,441,87,SS_0,441,592,151,CC_1,592,696,104,696,0,0,0,0,0,0.9971830985915493,0.9886363636363636,0.993421052631579,0.9904761904761905,0.0,354,87,123.01490424605738,267,0,0.0,1.5253637211355178,0,0.6630790271113091,0,0.20065928003980532,0,0.35961429141432194,0,0.7783717042053748,0,0.5364653416022437,0,0.18606497261230898,0,0
131,1,29,SMD_3,0,37,37,AOI_0,37,90,53,SS_0,90,138,48,0,0,0,0,138,0,0,0,0,0,0.9736842105263158,0.9814814814814815,0.9795918367346939,0.0,0.0,53,0,23.951339558919592,53,0,0.0,1.5253637211355178,0,1.1533153181125166,0,0.20065928003980532,0,1.0744672952921435,0,0.8560576700063128,0,0.7929761694114656,0,0.6798498793419534,0,0
29,1,18,SMD_0,402,1155,753,AOI_2,1155,1457,302,SS_3,1457,2127,670,CC_0,2243,2441,198,1923,518,0,0,0,0,0.9986737400530504,0.9966996699669967,0.9985096870342772,0.9949748743718593,0.2692307692307692,753,198,271.9281461464897,555,0,0.0,1.4262844838501054,0,0.41491367729457235,0,0.20065928003980532,0,0.5401533696180149,0,0.2871222145817965,0,0.7560503829898556,0,0.26024061616256194,0,0
75,1,20,SMD_4,0,189,189,AOI_1,189,766,577,SS_0,766,1021,255,0,0,0,0,1021,0,0,0,0,0,0.9947368421052631,0.9982698961937716,0.99609375,0.0,0.0,577,0,240.18378379899005,577,0,0.0,1.5253637211355178,0,0.37754713719125077,0,0.20065928003980532,0,0.7316986625179198,0,0.34122015586696647,0,0.2774641174065243,0,0.6798498793419534,0,0
78,1,29,SMD_3,37,172,135,AOI_0,172,230,58,SS_0,230,339,109,0,0,0,0,302,37,0,0,0,0,0.9926470588235294,0.9830508474576272,0.990909090909091,0.0,0.12211221122112212,135,0,59.63500090830328,135,0,0.0,1.5182866327579883,0,1.0092315336605489,0,0.20065928003980532,0,0.8534717294245519,0,0.8446332632708807,0,0.6410619898351303,0,0.6798498793419534,0,0
81,1,28,SMD_2,0,723,723,AOI_0,723,1170,447,SS_0,1170,1600,430,CC_0,1600,1776,176,1776,0,0,0,0,0,0.9986187845303868,0.9977678571428571,0.9976798143851509,0.9943502824858758,0.0,723,176,223.50988046765778,547,0,0.0,1.5253637211355178,0,0.28576540708457676,0,0.20065928003980532,0,0.472501665780997,0,0.04418558074573307,0,0.1583552502305033,0,0.15578611666206027,0,0
6,2,21,SMD_1,1159,1489,330,AOI_2,1489,1815,326,SS_0,1815,2072,257,CC_0,2441,2485,44,957,1528,0,0,0,0,0.9969788519637462,0.9969418960244648,0.9961240310077519,0.9777777777777777,1.5949895615866387,330,44,134.4107510580906,286,0,0.0,1.2330990984094363,0,0.43377495551396994,0,0.20065928003980532,0,0.4137356544839362,0,0.23228506225172266,0,0.27248332463352976,0,0.47094088034095,0,0
49,2,39,SMD_4,2204,2677,473,AOI_2,2677,2769,92,SS_1,2769,2892,123,CC_0,2892,2968,76,764,2204,0,0,0,0,0.9978902953586498,0.989247311827957,0.9919354838709677,0.987012987012987,2.881045751633987,473,76,189.00969992745522,397,0,0.0,1.1037987810253846,0,0.6033369701434199,0,0.20065928003980532,0,0.091262532860818,0,0.7669472974699428,0,0.6061964404241681,0,0.3190070628856748,0,0
66,2,19,SMD_1,1489,1750,261,AOI_4,1750,2038,288,SS_4,2050,2207,157,CC_1,2398,2625,227,933,1692,0,0,0,0,0.9961832061068703,0.9965397923875432,0.9936708860759493,0.9956140350877193,1.8115631691648821,288,157,56.62964476903123,131,0,0.0,1.2017303823576841,0,0.45486038738498963,0,0.20065928003980532,0,0.5693345733090771,0,0.31911055344100625,0,0.5215229632832599,0,0.3979306382314051,0,0
